Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,57.590000,57.590000,53.049999,53.520000,43.816662,9817700
2014-02-01,53.439999,55.709999,52.270000,55.439999,45.388557,6311900
2014-03-01,54.869999,57.439999,54.349998,57.200001,46.829464,6244000
2014-04-01,57.580002,58.880001,56.930000,58.240002,47.680908,8557500
2014-05-01,58.189999,60.330002,58.090000,59.599998,48.794338,3168800
2014-06-01,59.740002,60.869999,59.369999,60.070000,49.179123,3807800
2014-07-01,60.549999,62.000000,60.310001,60.650002,50.246181,3777100
2014-08-01,60.720001,63.209999,60.599998,62.610001,51.869965,3761000
2014-09-01,62.709999,63.680000,59.320000,59.799999,49.541981,4534000
2014-10-01,59.660000,60.790001,57.689999,60.560001,50.171616,9789900
2014-11-01,60.520000,60.619999,58.860001,59.270000,49.102890,5313600
2014-12-01,58.730000,58.900002,54.130001,56.630001,46.915760,12096100
2015-01-01,56.619999,58.790001,54.959999,57.299999,48.190304,8098300
2015-02-01,57.849998,59.130001,57.480000,58.750000,49.409786,7013600
2015-03-01,58.700001,59.099998,56.299999,59.009998,49.628445,8071700
2015-04-01,59.590000,63.709999,59.369999,62.230000,52.336529,8193300
2015-05-01,62.459999,62.810001,60.029999,60.070000,50.519924,9161800
2015-06-01,60.119999,60.119999,56.970001,57.680000,48.509895,9040500
2015-07-01,57.950001,58.209999,54.459999,55.490002,47.146240,10026300
2015-08-01,55.119999,55.619999,45.270000,50.880001,43.229427,15028500
2015-09-01,50.380001,52.439999,48.119999,49.820000,42.328812,12807500
2015-10-01,50.110001,54.160000,49.529999,52.340000,44.469891,12932600
2015-11-01,52.599998,53.619999,50.020000,50.299999,42.736637,11033600
2015-12-01,50.459999,50.730000,47.230000,48.660000,41.343243,20401200
2016-01-01,47.529999,47.790001,43.439999,47.000000,40.464470,18045900
2016-02-01,46.689999,48.009998,45.320000,47.029999,40.490284,13067000
2016-03-01,47.730000,51.689999,47.689999,51.369999,44.226799,18674800
2016-04-01,50.689999,52.660000,49.630001,51.459999,44.304283,15432400
2016-05-01,51.430000,51.610001,48.810001,50.169998,43.193665,15636600
2016-06-01,50.029999,52.380001,48.630001,51.590000,44.416203,18339800
2016-07-01,51.830002,53.139999,50.360001,53.090000,46.285522,15732500
2016-08-01,53.220001,54.840000,52.560001,53.270000,46.442451,19535700
2016-09-01,53.310001,54.860001,52.110001,54.060001,47.131195,18932400
2016-10-01,54.060001,54.320000,52.380001,52.830002,46.058842,14048400
2016-11-01,53.080002,53.490002,49.090000,50.220001,43.783363,21038700
2016-12-01,50.029999,51.020000,47.799999,48.910000,42.641262,20646900
2017-01-01,49.110001,51.209999,48.939999,50.730000,44.887840,14274600
2017-02-01,50.810001,52.520000,50.549999,51.709999,45.754990,13332200
2017-03-01,51.959999,54.200001,51.259998,53.500000,47.338856,14045400
2017-04-01,53.720001,54.570000,53.040001,54.270000,48.020172,7647400
2017-05-01,54.400002,55.759998,54.060001,55.299999,48.931553,8281100
2017-06-01,55.500000,56.240002,54.869999,55.400002,49.020042,9573000
2017-07-01,55.630001,57.680000,54.849998,57.099998,50.913876,6321800
2017-08-01,57.330002,58.250000,56.369999,58.139999,51.841202,6453100
2017-09-01,58.349998,59.060001,57.549999,58.099998,51.805534,9549700
2017-10-01,58.020000,59.880001,58.000000,59.189999,52.777447,8190400
2017-11-01,59.540001,60.520000,58.720001,59.200001,52.786366,7779600
2017-12-01,59.139999,61.080002,58.599998,60.759998,54.177357,6774700
2018-01-01,61.419998,65.550003,61.259998,64.470001,58.444893,8750200
2018-02-01,64.010002,64.290001,58.919998,61.209999,55.489559,14083000
2018-03-01,61.689999,63.189999,60.500000,62.340000,56.513958,7403600
2018-04-01,62.200001,63.110001,60.680000,61.139999,55.426098,11676200
2018-05-01,60.840000,61.779999,59.919998,60.889999,55.199459,6928100
2018-06-01,61.230000,62.020000,56.740002,57.840000,52.434505,4966600
2018-07-01,57.270000,59.959999,57.040001,59.880001,54.752117,6232400
2018-08-01,59.639999,59.990002,56.750000,59.169998,54.102917,10691400
2018-09-01,58.549999,59.470001,57.029999,59.299999,54.221783,13139200
2018-10-01,59.490002,59.490002,53.099998,54.980000,50.271729,17976900
2018-11-01,55.340000,57.770000,54.919998,57.360001,52.447922,12039600
2018-12-01,58.130001,58.299999,54.790001,55.869999,51.085514,23011200
2019-01-01,55.360001,59.430000,54.980000,59.380001,55.139004,16364900
2019-02-01,59.330002,59.919998,58.110001,58.750000,54.554001,16516500
2019-03-01,59.110001,60.250000,57.709999,59.270000,55.036865,19027600
2019-04-01,59.560001,60.270000,59.180000,59.919998,55.640438,17995800
2019-05-01,60.060001,60.290001,55.759998,57.099998,53.021847,19129200
2019-06-01,57.490002,59.209999,56.970001,58.860001,54.656143,9223200
2019-07-01,59.439999,59.439999,57.320000,57.810001,54.268433,20315600
2019-08-01,57.840000,58.130001,55.090000,56.790001,53.310925,15470300
2019-09-01,56.270000,58.349998,56.099998,57.090000,53.592545,9077100
2019-10-01,56.919998,58.779999,56.220001,58.360001,54.784737,8181900
2019-11-01,58.799999,59.700001,57.009998,57.040001,53.545601,8197200
2019-12-01,57.020000,58.880001,56.599998,58.660000,55.066360,7973700
2020-01-01,58.860001,59.580002,55.279999,55.450001,52.881744,12298000
2020-02-01,55.439999,57.340000,51.950001,53.360001,50.888554,15409900
2020-03-01,53.060001,54.869999,42.099998,46.919998,44.746826,34140800
2020-04-01,45.590000,51.259998,45.119999,50.580002,48.237312,18491900
2020-05-01,49.330002,51.270000,49.160000,51.130001,48.761841,15705200
2020-06-01,51.410000,54.130001,51.060001,52.000000,49.591541,10640000
2020-07-01,52.320000,55.470001,52.320000,54.520000,52.545834,7073000
2020-08-01,54.540001,56.680000,54.540001,55.680000,53.663830,7152300
2020-09-01,56.020000,56.529999,53.509998,55.180000,53.181934,7156400
2020-10-01,55.430000,56.980000,54.799999,54.959999,52.969902,8377200
2020-11-01,55.320000,60.099998,55.240002,59.099998,56.959988,8490600
2020-12-01,59.860001,61.590000,59.349998,61.080002,58.868298,7981100
2021-01-01,61.869999,64.019997,61.279999,61.680000,60.388550,7805600
2021-02-01,62.380001,65.449997,62.029999,62.290001,60.985775,6556500
2021-03-01,63.040001,63.759998,61.500000,63.160000,61.837559,6590200
2021-04-01,63.580002,64.440002,62.580002,63.389999,62.062744,5375000
